Tank,ColorID,ID,Temp,Treatment,Trial,Trial_date,Length,Weight,Notes,Ethovision_trial,DistMove,TimeMove,TimeNotMove,FreqArena,TimeArena,FreqPartial,TimePartial
C_10_1,Blue,C_10_1_Blue,10,control,Pre1,15/02/2024,8.7,6.5,,5,3785.05,444.944,84.4176,18,533.866,38,63.8971
C_10_1,Orange,C_10_1_Orange,10,control,Pre1,15/02/2024,8.2,5.7,,6,2972.15,311.478,45.7123,23,362.362,45,112.279
C_10_1,Pink,C_10_1_Pink,10,control,Pre1,15/02/2024,7.6,7.1,,7,332.191,71.0709,528.861,1,600.266,1,11.3447
C_10_1,Yellow,C_10_1_Yellow,10,control,Pre1,15/02/2024,8,5.4,,8,2374.02,275.608,65.3985,13,343.175,31,62.5624
E_10_1,Blue,E_10_1_Blue,10,exposed,Pre1,15/02/2024,8.2,5.8,,9,2606.37,233.066,3.003,26,240.407,52,50.2168
E_10_1,Orange,E_10_1_Orange,10,exposed,Pre1,15/02/2024,9.3,8.8,,10,1658.67,195.862,17.8512,19,217.384,33,71.0709
E_10_1,Pink,E_10_1_Pink,10,exposed,Pre1,15/02/2024,8.6,6.7,,11,2350.95,263.429,8.00798,23,276.609,44,80.5803
E_10_1,Yellow,E_10_1_Yellow,10,exposed,Pre1,15/02/2024,8.4,6.1,,12,4441.15,401.901,7.67433,23,413.746,41,58.5585
C_10_2,Blue,C_10_2_Blue,10,control,Pre1,15/02/2024,,,Replaced,Never Leaves,0,0,0,0,0,0,0
C_10_2,Orange,C_10_2_Orange,10,control,Pre1,15/02/2024,9.9,9.7,,14,2583.64,310.309,56.8901,34,375.207,63,117.117
C_10_2,Pink,C_10_2_Pink,10,control,Pre1,15/02/2024,7.9,4.6,,15,478.17,59.2258,3.33667,19,69.0689,23,36.036
C_10_2,Yellow,C_10_2_Yellow,10,control,Pre1,15/02/2024,9.8,9.5,,16,3940.5,343.51,89.0889,27,438.104,55,106.273
E_10_2,Blue,E_10_2_Blue,10,exposed,Pre1,15/02/2024,9.5,9.5,,17,0,0,0,0,0,0,0
E_10_2,Orange,E_10_2_Orange,10,exposed,Pre1,15/02/2024,9,7.2,,18,2472.92,317.984,60.7273,29,385.552,49,87.0869
E_10_2,Pink,E_10_2_Pink,10,exposed,Pre1,15/02/2024,8.5,6.8,,19,3300.03,317.984,12.1788,34,338.337,58,70.0699
E_10_2,Yellow,E_10_2_Yellow,10,exposed,Pre1,15/02/2024,9,7.9,,Never Leaves,0,0,0,0,0,0,0
C_10_3,Blue,C_10_3_Blue,10,control,Pre1,15/02/2024,8.1,5.4,,Never Leaves,0,0,0,0,0,0,0
C_10_3,Orange,C_10_3_Orange,10,control,Pre1,15/02/2024,9.3,8.1,,22,2805.92,261.928,47.2138,29,314.647,49,80.7473
C_10_3,Pink,C_10_3_Pink,10,control,Pre1,15/02/2024,8.2,6.3,,23,192.359,21.8552,507.34,7,531.03,7,531.03
C_10_3,Yellow,C_10_3_Yellow,10,control,Pre1,15/02/2024,9.4,8.1,,24,3021.48,285.952,235.735,22,527.359,47,282.615
E_10_3,Blue,E_10_3_Blue,10,exposed,Pre1,15/02/2024,7.5,4.2,,25,3078.7,280.113,15.1818,23,299.632,43,61.8951
E_10_3,Orange,E_10_3_Orange,10,exposed,Pre1,15/02/2024,8,5.3,,Never Leaves,0,0,0,0,0,0,0
E_10_3,Pink,E_10_3_Pink,10,exposed,Pre1,15/02/2024,7.1,3.6,,27,1800.12,215.715,51.051,14,269.602,30,57.3906
E_10_3,Yellow,E_10_3_Yellow,10,exposed,Pre1,15/02/2024,7.8,4.5,,Never Leaves,0,0,0,0,0,0,0
C_10_4,Blue,C_10_4_Blue,10,control,Pre1,16/02/2024,7.8,4.9,,29,3330.77,308.475,53.3866,46,371.204,79,124.958
C_10_4,Orange,C_10_4_Orange,10,control,Pre1,16/02/2024,8.2,5.9,,30,3652.28,470.136,59.7263,11,531.697,21,30.8641
C_10_4,Pink,C_10_4_Pink,10,control,Pre1,16/02/2024,7.5,4.4,,31,3331.56,358.19,17.6843,39,383.716,68,95.929
C_10_4,Yellow,C_10_4_Yellow,10,control,Pre1,16/02/2024,7.5,4.4,,Never Leaves,0,0,0,0,0,0,0
