Tank,ColorID,ID,Temp,Treatment,Trial,Trial_date,Length,Weight,Notes,Ethovision_trial,DistMove,TimeMove,TimeNotMove,FreqArena,TimeArena,FreqPartial,TimePartial
C_14_10,Blue,C_14_10_Blue,14,control,Post3,20/03/2024,9.6,9.1,,63,3193.31,235.235,57.5575,31,299.966,52,117.284
C_14_10,Blue,C_14_10_Blue,14,control,Post4,23/03/2024,9.6,9.1,,52,1459.76,193.36,68.4016,39,270.437,53,163.663
C_14_10,Orange,C_14_10_Orange,14,control,Pre1,17/02/2024,8.8,6.8,,56,1260.59,151.818,257.757,10,411.578,24,219.219
C_14_10,Orange,C_14_10_Orange,14,control,Pre2,20/02/2024,8.8,6.8,,69,2009.24,246.579,174.007,35,428.761,59,208.875
C_14_10,Orange,C_14_10_Orange,14,control,Pre3,23/02/2024,8.8,6.8,,69,1707.57,233.733,161.828,29,401.4,54,225.892
C_14_10,Orange,C_14_10_Orange,14,control,Pre4,26/02/2024,8.8,6.8,,141,1390.33,175.175,167.167,26,349.849,44,226.559
C_14_10,Orange,C_14_10_Orange,14,control,Post1,14/03/2024,8.8,6.8,,63,1532.19,182.515,32.5324,29,221.554,50,107.774
C_14_10,Orange,C_14_10_Orange,14,control,Post2,17/03/2024,8.8,6.8,,59,1568.41,190.523,15.1818,27,212.045,40,80.0798
C_14_10,Orange,C_14_10_Orange,14,control,Post3,20/03/2024,8.8,6.8,,64,2840.77,241.574,74.2407,31,321.988,51,155.822
C_14_10,Orange,C_14_10_Orange,14,control,Post4,23/03/2024,8.8,6.8,,53,1983.127,144.978,44.2107,25,195.528,40,111.945
C_14_10,Pink,C_14_10_Pink,14,control,Pre1,17/02/2024,8.5,6.1,,57,4009.23,363.363,34.3676,27,402.402,53,71.5714
C_14_10,Pink,C_14_10_Pink,14,control,Pre2,20/02/2024,8.5,6.1,,70,2604.56,287.954,23.023,26,315.648,40,61.3946
C_14_10,Pink,C_14_10_Pink,14,control,Pre3,23/02/2024,8.5,6.1,,70,2582.22,245.745,11.3446,26,263.429,39,50.0499
C_14_10,Pink,C_14_10_Pink,14,control,Pre4,26/02/2024,8.5,6.1,,142,2535.46,245.245,8.84215,33,260.76,52,58.7252
C_14_10,Pink,C_14_10_Pink,14,control,Post1,14/03/2024,8.5,6.1,,64,3448.37,318.818,34.7013,13,356.856,22,27.6943
C_14_10,Pink,C_14_10_Pink,14,control,Post2,17/03/2024,8.5,6.1,,60,2992.4,211.211,26.8601,47,249.082,71,92.0918
C_14_10,Pink,C_14_10_Pink,14,control,Post3,20/03/2024,8.5,6.1,,65,2943.06,278.778,16.3496,25,300.967,41,49.3826
C_14_10,Pink,C_14_10_Pink,14,control,Post4,23/03/2024,8.5,6.1,,54,2053.05,244.077,33.5334,39,287.12,59,75.5753
C_14_10,Yellow,C_14_10_Yellow,14,control,Pre1,17/02/2024,8.7,6.7,,58,2588.25,242.742,16.016,16,261.928,31,52.2187
C_14_10,Yellow,C_14_10_Yellow,14,control,Pre2,20/02/2024,8.7,6.7,,71,1491.35,144.644,5.33866,27,158.491,39,48.8821
C_14_10,Yellow,C_14_10_Yellow,14,control,Pre3,23/02/2024,8.7,6.7,,Never leaves,0,0,0,0,0,0,0
C_14_10,Yellow,C_14_10_Yellow,14,control,Pre4,26/02/2024,8.7,6.7,,143,1561.78,192.359,11.1778,32,211.378,45,69.0689
C_14_10,Yellow,C_14_10_Yellow,14,control,Post1,14/03/2024,8.7,6.7,,Never Leaves,0,0,0,0,0,0,0
C_14_10,Yellow,C_14_10_Yellow,14,control,Post2,17/03/2024,8.7,6.7,,MISSING,NA,NA,NA,NA,NA,NA,NA
C_14_10,Yellow,C_14_10_Yellow,14,control,Post3,20/03/2024,8.7,6.7,,MISSING,NA,NA,NA,NA,NA,NA,NA
C_14_10,Yellow,C_14_10_Yellow,14,control,Post4,23/03/2024,8.7,6.7,,MISSING,NA,NA,NA,NA,NA,NA,NA
C_14_2,Blue,C_14_2_Blue,14,control,Pre1,15/02/2024,7.5,4.3,,6,1907.48,170.003,3.5035,12,175.509,24,28.6953
C_14_2,Blue,C_14_2_Blue,14,control,Pre2,18/02/2024,7.5,4.3,,8,1413.57,124.457,5.33866,20,133.3,33,43.2097
C_14_2,Blue,C_14_2_Blue,14,control,Pre3,21/02/2024,7.5,4.3,,8,1401.77,127.461,6.17283,27,139.973,40,52.8861
C_14_2,Blue,C_14_2_Blue,14,control,Pre4,24/02/2024,7.5,4.3,,81,3267.57,284.117,5.33866,34,297.797,57,66.7333
C_14_2,Blue,C_14_2_Blue,14,control,Post1,12/03/2024,7.5,4.3,,8,1929.12,191.691,10.3437,25,208.541,38,44.044
C_14_2,Blue,C_14_2_Blue,14,control,Post2,15/03/2024,7.5,4.3,,7,1988.23,199.199,5.67233,27,212.879,47,52.5525
C_14_2,Blue,C_14_2_Blue,14,control,Post3,18/03/2024,7.5,4.3,,7,1179,137.804,6.006,27,152.486,41,57.057
C_14_2,Blue,C_14_2_Blue,14,control,Post4,21/03/2024,7.5,4.3,,5,1118.28,116.783,4.50449,28,127.794,41,46.3796
C_14_2,Orange,C_14_2_Orange,14,control,Pre1,15/02/2024,7.1,3.7,,Never Leaves,0,0,0,0,0,0,0
C_14_2,Orange,C_14_2_Orange,14,control,Pre2,18/02/2024,7.1,3.7,,9,1152.87,104.104,4.50449,16,111.778,28,39.8731
C_14_2,Orange,C_14_2_Orange,14,control,Pre3,21/02/2024,7.1,3.7,,9,214.126,22.8561,2.83616,4,26.3596,7,12.8461
C_14_2,Orange,C_14_2_Orange,14,control,Pre4,24/02/2024,7.1,3.7,,82,377.783,38.2048,2.83616,6,42.7092,11,14.8481
C_14_2,Orange,C_14_2_Orange,14,control,Post1,12/03/2024,7.1,3.7,,9,2355.58,147.314,13.3466,26,196.166,41,58.7252
